DATE NORMAL_SPAWNS NORMAL_SHOTS GOLD_SPAWNS GOLD_SHOTS CLOCK_SPAWNS CLOCK_SHOTS LETTER_SPAWNS CORRECT_LETTER_SHOTS FAIL_LETTER_SHOTS GOLD_RUSH GOLD_RUSH_TIME GOLD_RUSH_SPAWNS GOLD_RUSH_SHOTS MISSED_SHOTS TOTAL_GAME_TIME START_DIFFICULTY END_DIFFICULTY SCORE MAX_COMBO
13/7/2021 24 10 2 1 6 1 9 2 2 0 0 0 0 11 40 0,5 0,3068722 100 3
13/7/2021 29 17 4 0 4 2 13 2 3 0 0 0 0 2 45 0,3068722 0,4949276 170 5
